C2 CYT,3TER,5TER CN1 0.52 0.52
O2 CYT,3TER,5TER ON1C -0.49 -0.49
N3 CYT,3TER,5TER NN3 -0.66 -0.66
C4 CYT,3TER,5TER CN2 0.65 0.64
N4 CYT,3TER,5TER NN1 -0.75 -0.75
H41 CYT,3TER,5TER HN1 0.37 0.35
H42 CYT,3TER,5TER HN1 0.33 0.35
C2' CYT,3TER,5TER CN7B 0.14 0.14
H2'' CYT,3TER,5TER HN7 0.09 0.09
O2' CYT,3TER,5TER ON5 -0.66 -0.66
H2' CYT,3TER,5TER HN5 0.43 0.43
C3' CYT,3TER,5TER CN7 0.14 0.14
H3' CYT,3TER,5TER HN7 0.09 0.09
O3' CYT,3TER,5TER ON5 -0.66 -0.66
H3T CYT,3TER,5TER HN5 0.43 0.43
H5T CYT,3TER,5TER HN5 0.43 0.43
O5' THY,3TER,5TER ON5 -0.66 -0.66
C5' THY,3TER,5TER CN8B 0.05 0.05
H5' THY,3TER,5TER HN8 0.09 0.09
H5'' THY,3TER,5TER HN8 0.09 0.09
C4' THY,3TER,5TER CN7 0.16 0.16
H4' THY,3TER,5TER HN7 0.09 0.09
O4' THY,3TER,5TER ON6B -0.50 -0.5
C1' THY,3TER,5TER CN7B 0.16 0.16
H1' THY,3TER,5TER HN7 0.09 0.09
N1 THY,3TER,5TER NN2B -0.34 -0.34
C6 THY,3TER,5TER CN3 0.17 0.17
H6 THY,3TER,5TER HN3 0.17 0.17
C2 THY,3TER,5TER CN1T 0.51 0.51
O2 THY,3TER,5TER ON1 -0.41 -0.41
N3 THY,3TER,5TER NN2U -0.46 -0.46
H3 THY,3TER,5TER HN2 0.36 0.36
C4 THY,3TER,5TER CN1 0.50 0.5
O4 THY,3TER,5TER ON1 -0.45 -0.45
C5 THY,3TER,5TER CN3T -0.15 -0.15
C5M THY,3TER,5TER CN9 -0.11 -0.11
H51 THY,3TER,5TER HN9 0.07 0.07
H52 THY,3TER,5TER HN9 0.07 0.07
H53 THY,3TER,5TER HN9 0.07 0.07
C2' THY,3TER,5TER CN7B 0.14 0.14
H2'' THY,3TER,5TER HN7 0.09 0.09
O2' THY,3TER,5TER ON5 -0.66 -0.66
H2' THY,3TER,5TER HN5 0.43 0.43
C3' THY,3TER,5TER CN7 0.14 0.14
H3' THY,3TER,5TER HN7 0.09 0.09
O3' THY,3TER,5TER ON5 -0.66 -0.66
H3T THY,3TER,5TER HN5 0.43 0.43
H5T THY,3TER,5TER HN5 0.43 0.43
O5' URA,3TER,5TER ON5 -0.66 -0.66
C5' URA,3TER,5TER CN8B 0.05 0.05
H5' URA,3TER,5TER HN8 0.09 0.09
H5'' URA,3TER,5TER HN8 0.09 0.09
C4' URA,3TER,5TER CN7 0.16 0.16
H4' URA,3TER,5TER HN7 0.09 0.09
O4' URA,3TER,5TER ON6B -0.50 -0.5
C1' URA,3TER,5TER CN7B 0.16 0.16
H1' URA,3TER,5TER HN7 0.09 0.09
N1 URA,3TER,5TER NN2B -0.34 -0.34
C6 URA,3TER,5TER CN3 0.20 0.2
H6 URA,3TER,5TER HN3 0.14 0.14
C2 URA,3TER,5TER CN1T 0.55 0.55
O2 URA,3TER,5TER ON1 -0.45 -0.45
N3 URA,3TER,5TER NN2U -0.46 -0.46
H3 URA,3TER,5TER HN2 0.36 0.36
C4 URA,3TER,5TER CN1 0.53 0.53
O4 URA,3TER,5TER ON1 -0.48 -0.48
C5 URA,3TER,5TER CN3 -0.15 -0.15
H5 URA,3TER,5TER HN3 0.10 0.1
C2' URA,3TER,5TER CN7B 0.14 0.14
H2'' URA,3TER,5TER HN7 0.09 0.09
O2' URA,3TER,5TER ON5 -0.66 -0.66
H2' URA,3TER,5TER HN5 0.43 0.43
C3' URA,3TER,5TER CN7 0.14 0.14
H3' URA,3TER,5TER HN7 0.09 0.09
O3' URA,3TER,5TER ON5 -0.66 -0.66
H3T URA,3TER,5TER HN5 0.43 0.43
H5T URA,3TER,5TER HN5 0.43 0.43
