charmmlipid.csv Version 2.0.3
residue,order,search,replace,TER,num_atom
DAPC,63,H15A DAPC, H5A PC  ,True,138
DAPC,64,H15B DAPC, H5B PC  ,True,138
DAPC,65,H15C DAPC, H5C PC  ,True,138
DAPC,66, C11 DAPC, C31 PC  ,True,138
DAPC,67,H11A DAPC, H1A PC  ,True,138
DAPC,68,H11B DAPC, H1B PC  ,True,138
DAPC,69, P   DAPC, P31 PC  ,True,138
DAPC,70, O13 DAPC, O33 PC  ,True,138
DAPC,71, O14 DAPC, O34 PC  ,True,138
DAPC,72, O12 DAPC, O32 PC  ,True,138
DAPC,73, O11 DAPC, O31 PC  ,True,138
DAPC,74, C1  DAPC, C3  PC  ,True,138
DAPC,75, HA  DAPC, HA  PC  ,True,138
DAPC,76, HB  DAPC, HB  PC  ,True,138
DAPC,77, C2  DAPC, C2  PC  ,True,138
DAPC,78, HS  DAPC, HX  PC  ,True,138
DAPC,79, O21 DAPC, O21 PC  ,True,138
DAPC,80, C21 DAPC, C21 PC  ,True,138
DAPC,81, O22 DAPC, O22 PC  ,True,138
DAPC,82, C3  DAPC, C1  PC  ,True,138
DAPC,83, HX  DAPC, HR  PC  ,True,138
DAPC,84, HY  DAPC, HS  PC  ,True,138
DAPC,85, O31 DAPC, O11 PC  ,True,138
DAPC,86, C31 DAPC, C11 PC  ,True,138
DAPC,87, O32 DAPC, O12 PC  ,True,138
DAPC,88, C22 DAPC, C12 AR  ,True,138
DAPC,89, H2R DAPC, H2R AR  ,True,138
DAPC,90, H2S DAPC, H2S AR  ,True,138
DAPC,91, C23 DAPC, C13 AR  ,True,138
DAPC,92, H3R DAPC, H3R AR  ,True,138
DAPC,93, H3S DAPC, H3S AR  ,True,138
DAPC,94, C24 DAPC, C14 AR  ,True,138
DAPC,95, H4R DAPC, H4R AR  ,True,138
DAPC,96, H4S DAPC, H4S AR  ,True,138
DAPC,97, C25 DAPC, C15 AR  ,True,138
DAPC,98, H5R DAPC, H5R AR  ,True,138
DAPC,99, C26 DAPC, C16 AR  ,True,138
DAPC,100, H6R DAPC, H6R AR  ,True,138
DAPC,101, C27 DAPC, C17 AR  ,True,138
DAPC,102, H7R DAPC, H7R AR  ,True,138
DAPC,103, H7S DAPC, H7S AR  ,True,138
DAPC,104, C28 DAPC, C18 AR  ,True,138
DAPC,105, H8R DAPC, H8R AR  ,True,138
DAPC,106, C29 DAPC, C19 AR  ,True,138
DAPC,107, H9R DAPC, H9R AR  ,True,138
DAPC,108,C210 DAPC,C110 AR  ,True,138
DAPC,109,H10R DAPC,H10R AR  ,True,138
DAPC,110,H10S DAPC,H10S AR  ,True,138
DAPC,111,C211 DAPC,C111 AR  ,True,138
DAPC,112,H11R DAPC,H11R AR  ,True,138
DAPC,113,C212 DAPC,C112 AR  ,True,138
DAPC,114,H12R DAPC,H12R AR  ,True,138
DAPC,115,C213 DAPC,C113 AR  ,True,138
DAPC,116,H13R DAPC,H13R AR  ,True,138
DAPC,117,H13S DAPC,H13S AR  ,True,138
DAPC,118,C214 DAPC,C114 AR  ,True,138
DAPC,119,H14R DAPC,H14R AR  ,True,138
DAPC,120,C215 DAPC,C115 AR  ,True,138
DAPC,121,H15R DAPC,H15R AR  ,True,138
DAPC,122,C216 DAPC,C116 AR  ,True,138
DAPC,123,H16R DAPC,H16R AR  ,True,138
DAPC,124,H16S DAPC,H16S AR  ,True,138
DAPC,125,C217 DAPC,C117 AR  ,True,138
DAPC,126,H17R DAPC,H17R AR  ,True,138
DAPC,127,H17S DAPC,H17S AR  ,True,138
DAPC,128,C218 DAPC,C118 AR  ,True,138
DAPC,129,H18R DAPC,H18R AR  ,True,138
DAPC,130,H18S DAPC,H18S AR  ,True,138
DAPC,131,C219 DAPC,C119 AR  ,True,138
DAPC,132,H19R DAPC,H19R AR  ,True,138
DAPC,133,H19S DAPC,H19S AR  ,True,138
DAPC,134,C220 DAPC,C120 AR  ,True,138
DAPC,135,H20R DAPC,H20R AR  ,True,138
DAPC,136,H20S DAPC,H20S AR  ,True,138
DAPC,137,H20T DAPC,H20T AR  ,True,138
DAPE,0, C32 DAPE, C12 AR  ,True,129
DAPE,1, H2X DAPE, H2R AR  ,True,129
DAPE,2, H2Y DAPE, H2S AR  ,True,129
DAPE,3, C33 DAPE, C13 AR  ,True,129
DAPE,4, H3X DAPE, H3R AR  ,True,129
DAPE,5, H3Y DAPE, H3S AR  ,True,129
DAPE,6, C34 DAPE, C14 AR  ,True,129
DAPE,7, H4X DAPE, H4R AR  ,True,129
DAPE,8, H4Y DAPE, H4S AR  ,True,129
DAPE,9, C35 DAPE, C15 AR  ,True,129
DAPE,10, H5X DAPE, H5R AR  ,True,129
DAPE,11, C36 DAPE, C16 AR  ,True,129
DAPE,12, H6X DAPE, H6R AR  ,True,129
DAPE,13, C37 DAPE, C17 AR  ,True,129
DAPE,14, H7X DAPE, H7R AR  ,True,129
DAPE,15, H7Y DAPE, H7S AR  ,True,129
DAPE,16, C38 DAPE, C18 AR  ,True,129
DAPE,17, H8X DAPE, H8R AR  ,True,129
DAPE,18, C39 DAPE, C19 AR  ,True,129
DAPE,19, H9X DAPE, H9R AR  ,True,129
DAPE,20,C310 DAPE,C110 AR  ,True,129
DAPE,21,H10X DAPE,H10R AR  ,True,129
DAPE,22,H10Y DAPE,H10S AR  ,True,129
DAPE,23,C311 DAPE,C111 AR  ,True,129
DAPE,24,H11X DAPE,H11R AR  ,True,129
DAPE,25,C312 DAPE,C112 AR  ,True,129
DAPE,26,H12X DAPE,H12R AR  ,True,129
DAPE,27,C313 DAPE,C113 AR  ,True,129
DAPE,28,H13X DAPE,H13R AR  ,True,129
DAPE,29,H13Y DAPE,H13S AR  ,True,129
DAPE,30,C314 DAPE,C114 AR  ,True,129
DAPE,31,H14X DAPE,H14R AR  ,True,129
DAPE,32,C315 DAPE,C115 AR  ,True,129
DAPE,33,H15X DAPE,H15R AR  ,True,129
DAPE,34,C316 DAPE,C116 AR  ,True,129
DAPE,35,H16X DAPE,H16R AR  ,True,129
DAPE,36,H16Y DAPE,H16S AR  ,True,129
DAPE,37,C317 DAPE,C117 AR  ,True,129
DAPE,38,H17X DAPE,H17R AR  ,True,129
DAPE,39,H17Y DAPE,H17S AR  ,True,129
DAPE,40,C318 DAPE,C118 AR  ,True,129
DAPE,41,H18X DAPE,H18R AR  ,True,129
DAPE,42,H18Y DAPE,H18S AR  ,True,129
DAPE,43,C319 DAPE,C119 AR  ,True,129
DAPE,44,H19X DAPE,H19R AR  ,True,129
DAPE,45,H19Y DAPE,H19S AR  ,True,129
DAPE,46,C320 DAPE,C120 AR  ,True,129
DAPE,47,H20X DAPE,H20R AR  ,True,129
DAPE,48,H20Y DAPE,H20S AR  ,True,129
DAPE,49,H20Z DAPE,H20T AR  ,True,129
DAPE,50, N   DAPE, N31 PE  ,True,129
DAPE,51, HN1 DAPE,HN1A PE  ,True,129
DAPE,52, HN2 DAPE,HN1B PE  ,True,129
DAPE,53, HN3 DAPE,HN1C PE  ,True,129
DAPE,54, C12 DAPE, C32 PE  ,True,129
DAPE,55,H12A DAPE, H2A PE  ,True,129
DAPE,56,H12B DAPE, H2B PE  ,True,129
DAPE,57, C11 DAPE, C31 PE  ,True,129
DAPE,58,H11A DAPE, H1A PE  ,True,129
DAPE,59,H11B DAPE, H1B PE  ,True,129
DAPE,60, P   DAPE, P31 PE  ,True,129
DAPE,61, O13 DAPE, O33 PE  ,True,129
DAPE,62, O14 DAPE, O34 PE  ,True,129
